category,key,emoji,display,contract_label,bytes,price_ikas,price_wei
ANIMALS,bear,🐻,🐻,xn--gp8h,8,1000,1000000000000000000000
ANIMALS,bee,🐝,🐝,xn--lo8h,8,1000,1000000000000000000000
ANIMALS,butterfly,🦋,🦋,xn--bt9h,8,1000,1000000000000000000000
ANIMALS,cat,🐱,🐱,xn--5o8h,8,1000,1000000000000000000000
ANIMALS,chicken,🐔,🐔,xn--co8h,8,1000,1000000000000000000000
ANIMALS,cow,🐮,🐮,xn--2o8h,8,1000,1000000000000000000000
ANIMALS,dog,🐶,🐶,xn--bp8h,8,1000,1000000000000000000000
ANIMALS,dolphin,🐬,🐬,xn--0o8h,8,1000,1000000000000000000000
ANIMALS,dragon,🐉,🐉,xn--0n8h,8,1000,1000000000000000000000
ANIMALS,eagle,🦅,🦅,xn--4s9h,8,1000,1000000000000000000000
ANIMALS,elephant,🐘,🐘,xn--go8h,8,1000,1000000000000000000000
ANIMALS,fox,🦊,🦊,xn--9s9h,8,1000,1000000000000000000000
ANIMALS,frog,🐸,🐸,xn--dp8h,8,1000,1000000000000000000000
ANIMALS,hamster,🐹,🐹,xn--ep8h,8,1000,1000000000000000000000
ANIMALS,horse,🐴,🐴,xn--8o8h,8,1000,1000000000000000000000
ANIMALS,koala,🐨,🐨,xn--wo8h,8,1000,1000000000000000000000
ANIMALS,lion,🦁,🦁,xn--0s9h,8,1000,1000000000000000000000
ANIMALS,monkey,🐵,🐵,xn--9o8h,8,1000,1000000000000000000000
ANIMALS,mouse,🐭,🐭,xn--1o8h,8,1000,1000000000000000000000
ANIMALS,octopus,🐙,🐙,xn--ho8h,8,1000,1000000000000000000000
ANIMALS,owl,🦉,🦉,xn--8s9h,8,1000,1000000000000000000000
ANIMALS,panda,🐼,🐼,xn--hp8h,8,1000,1000000000000000000000
ANIMALS,penguin,🐧,🐧,xn--vo8h,8,1000,1000000000000000000000
ANIMALS,pig,🐷,🐷,xn--cp8h,8,1000,1000000000000000000000
ANIMALS,polar_bear,🐻‍❄️,🐻‍❄,xn--1ug26z3843b,15,1000,1000000000000000000000
ANIMALS,rabbit,🐰,🐰,xn--4o8h,8,1000,1000000000000000000000
ANIMALS,shark,🦈,🦈,xn--7s9h,8,1000,1000000000000000000000
ANIMALS,snake,🐍,🐍,xn--4n8h,8,1000,1000000000000000000000
ANIMALS,tiger,🐯,🐯,xn--3o8h,8,1000,1000000000000000000000
ANIMALS,turtle,🐢,🐢,xn--qo8h,8,1000,1000000000000000000000
ANIMALS,unicorn,🦄,🦄,xn--3s9h,8,1000,1000000000000000000000
ANIMALS,whale,🐳,🐳,xn--7o8h,8,1000,1000000000000000000000
ANIMALS,wolf,🐺,🐺,xn--fp8h,8,1000,1000000000000000000000
FACES,100,💯,💯,xn--rs8h,8,1000,1000000000000000000000
FACES,brain,🧠,🧠,xn--qv9h,8,1000,1000000000000000000000
FACES,clap,👏,👏,xn--0p8h,8,1000,1000000000000000000000
FACES,clown,🤡,🤡,xn--9p9h,8,1000,1000000000000000000000
FACES,cool,😎,😎,xn--s28h,8,1000,1000000000000000000000
FACES,devil,😈,😈,xn--m28h,8,1000,1000000000000000000000
FACES,eye,👁️,👁,xn--mp8h,8,1000,1000000000000000000000
FACES,fist,✊,✊,xn--5bi,7,1000,1000000000000000000000
FACES,ghost,👻,👻,xn--9q8h,8,1000,1000000000000000000000
FACES,heart_eyes,😍,😍,xn--r28h,8,1000,1000000000000000000000
FACES,mind_blown,🤯,🤯,xn--oq9h,8,1000,1000000000000000000000
FACES,muscle,💪,💪,xn--ms8h,8,1000,1000000000000000000000
FACES,ok_hand,👌,👌,xn--xp8h,8,1000,1000000000000000000000
FACES,point_up,☝️,☝,xn--e4h,7,1000,1000000000000000000000
FACES,pray,🙏,🙏,xn--n48h,8,1000,1000000000000000000000
FACES,raised_hands,🙌,🙌,xn--k48h,8,1000,1000000000000000000000
FACES,skull,💀,💀,xn--fr8h,8,1000,1000000000000000000000
FACES,smile,😀,😀,xn--e28h,8,1000,1000000000000000000000
FACES,star_struck,🤩,🤩,xn--iq9h,8,1000,1000000000000000000000
FACES,thinking,🤔,🤔,xn--wp9h,8,1000,1000000000000000000000
FACES,thumbs_down,👎,👎,xn--zp8h,8,1000,1000000000000000000000
FACES,thumbs_up,👍,👍,xn--yp8h,8,1000,1000000000000000000000
FACES,wave,👋,👋,xn--wp8h,8,1000,1000000000000000000000
FACES,wink,😉,😉,xn--n28h,8,1000,1000000000000000000000
FLAGS_TOP,flag_ae,🇦🇪,🇦🇪,xn--e77hia,10,1000,1000000000000000000000
FLAGS_TOP,flag_ar,🇦🇷,🇦🇷,xn--e77h8a,10,1000,1000000000000000000000
FLAGS_TOP,flag_at,🇦🇹,🇦🇹,xn--e77hgb,10,1000,1000000000000000000000
FLAGS_TOP,flag_au,🇦🇺,🇦🇺,xn--e77hib,10,1000,1000000000000000000000
FLAGS_TOP,flag_be,🇧🇪,🇧🇪,xn--f77hga,10,1000,1000000000000000000000
FLAGS_TOP,flag_br,🇧🇷,🇧🇷,xn--f77h6a,10,1000,1000000000000000000000
FLAGS_TOP,flag_ca,🇨🇦,🇨🇦,xn--e77hd,9,1000,1000000000000000000000
FLAGS_TOP,flag_ch,🇨🇭,🇨🇭,xn--g77hka,10,1000,1000000000000000000000
FLAGS_TOP,flag_cl,🇨🇱,🇨🇱,xn--g77hsa,10,1000,1000000000000000000000
FLAGS_TOP,flag_cn,🇨🇳,🇨🇳,xn--g77hwa,10,1000,1000000000000000000000
FLAGS_TOP,flag_co,🇨🇴,🇨🇴,xn--g77hya,10,1000,1000000000000000000000
FLAGS_TOP,flag_de,🇩🇪,🇩🇪,xn--h77hc,9,1000,1000000000000000000000
FLAGS_TOP,flag_dk,🇩🇰,🇩🇰,xn--h77hoa,10,1000,1000000000000000000000
FLAGS_TOP,flag_eg,🇪🇬,🇪🇬,xn--i77hea,10,1000,1000000000000000000000
FLAGS_TOP,flag_es,🇪🇸,🇪🇸,xn--i77h2a,10,1000,1000000000000000000000
FLAGS_TOP,flag_eu,🇪🇺,🇪🇺,xn--i77h6a,10,1000,1000000000000000000000
FLAGS_TOP,flag_fi,🇫🇮,🇫🇮,xn--j77hga,10,1000,1000000000000000000000
FLAGS_TOP,flag_fr,🇫🇷,🇫🇷,xn--j77hya,10,1000,1000000000000000000000
FLAGS_TOP,flag_gr,🇬🇷,🇬🇷,xn--k77hwa,10,1000,1000000000000000000000
FLAGS_TOP,flag_hk,🇭🇰,🇭🇰,xn--l77hga,10,1000,1000000000000000000000
FLAGS_TOP,flag_id,🇮🇩,🇮🇩,xn--h77hja,10,1000,1000000000000000000000
FLAGS_TOP,flag_ie,🇮🇪,🇮🇪,xn--i77hha,10,1000,1000000000000000000000
FLAGS_TOP,flag_il,🇮🇱,🇮🇱,xn--m77hga,10,1000,1000000000000000000000
FLAGS_TOP,flag_in,🇮🇳,🇮🇳,xn--m77hka,10,1000,1000000000000000000000
FLAGS_TOP,flag_it,🇮🇹,🇮🇹,xn--m77hwa,10,1000,1000000000000000000000
FLAGS_TOP,flag_jp,🇯🇵,🇯🇵,xn--n77hma,10,1000,1000000000000000000000
FLAGS_TOP,flag_ke,🇰🇪,🇰🇪,xn--i77hla,10,1000,1000000000000000000000
FLAGS_TOP,flag_kr,🇰🇷,🇰🇷,xn--o77hoa,10,1000,1000000000000000000000
FLAGS_TOP,flag_kw,🇰🇼,🇰🇼,xn--o77hya,10,1000,1000000000000000000000
FLAGS_TOP,flag_mx,🇲🇽,🇲🇽,xn--q77hwa,10,1000,1000000000000000000000
FLAGS_TOP,flag_my,🇲🇾,🇲🇾,xn--q77hya,10,1000,1000000000000000000000
FLAGS_TOP,flag_ng,🇳🇬,🇳🇬,xn--k77hna,10,1000,1000000000000000000000
FLAGS_TOP,flag_nl,🇳🇱,🇳🇱,xn--p77hd,9,1000,1000000000000000000000
FLAGS_TOP,flag_no,🇳🇴,🇳🇴,xn--r77hc,9,1000,1000000000000000000000
FLAGS_TOP,flag_nz,🇳🇿,🇳🇿,xn--r77hya,10,1000,1000000000000000000000
FLAGS_TOP,flag_pe,🇵🇪,🇵🇪,xn--i77hva,10,1000,1000000000000000000000
FLAGS_TOP,flag_ph,🇵🇭,🇵🇭,xn--l77hpa,10,1000,1000000000000000000000
FLAGS_TOP,flag_pirate,🏴‍☠️,🏴‍☠,xn--1ug31v1937b,15,1000,1000000000000000000000
FLAGS_TOP,flag_pl,🇵🇱,🇵🇱,xn--p77hha,10,1000,1000000000000000000000
FLAGS_TOP,flag_pt,🇵🇹,🇵🇹,xn--t77hia,10,1000,1000000000000000000000
FLAGS_TOP,flag_qa,🇶🇦,🇶🇦,xn--e77h5a,10,1000,1000000000000000000000
FLAGS_TOP,flag_ru,🇷🇺,🇷🇺,xn--v77hga,10,1000,1000000000000000000000
FLAGS_TOP,flag_sa,🇸🇦,🇸🇦,xn--e77h9a,10,1000,1000000000000000000000
FLAGS_TOP,flag_se,🇸🇪,🇸🇪,xn--i77h1a,10,1000,1000000000000000000000
FLAGS_TOP,flag_sg,🇸🇬,🇸🇬,xn--k77hxa,10,1000,1000000000000000000000
